"","Mat_Bat","Inns_Bat","NO","Runs_Bat","HS","Ave_Bat","BF","SR_Bat","100","50","4s","6s","Ct","St","Mat_Bowl","Inns_Bowl","Balls","Runs_Bowl","Wkts","Ave_Bowl","Econ","SR_Bowl","4w","5w","10","Full_Name","Country","Batting_Style","Bowling_Style"
"1",185,160,42,3994,128,33.84,5222,76.48,3,21,312,56,61,0,185,134,4090,3527,76,46.4,5.17,53.8,0,0,0," Mohammad Mahmudullah","Bangladesh","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"2",33,33,2,768,121,24.77,871,88.17,1,3,82,12,21,3,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Liton Kumar Das","Bangladesh","Batting style Right-hand bat",NA
"3",3,3,0,20,7,6.66,45,44.44,0,0,0,0,2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Najmul Hossain Shanto","Bangladesh","Batting style Left-hand bat","Bowling style Right-arm offbreak"
"4",24,21,2,493,63,25.94,659,74.81,0,4,41,12,6,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Mohammad Mithun","Bangladesh","Batting style Right-hand bat",NA
"5",216,202,34,6100,144,36.3,7718,79.03,7,37,486,82,181,44,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Mohammad Mushfiqur Rahim","Bangladesh","Batting style Right-hand bat",NA
"6",206,194,27,6323,134,37.86,7641,82.75,9,47,574,42,50,0,206,203,10517,7857,260,30.21,4.48,40.4,8,2,0," Shakib Al Hasan","Bangladesh","Batting style Left-hand bat","Bowling style Slow left-arm orthodox"
"7",78,78,2,2434,144,32.02,3423,71.1,4,16,238,37,21,0,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Imrul Kayes","Bangladesh","Batting style Left-hand bat",NA
"8",217,156,27,1786,51,13.84,2037,87.67,0,1,150,62,61,0,217,217,10789,8759,266,32.92,4.87,40.5,7,1,0," Mashrafe Bin Mortaza","Bangladesh","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"9",38,24,4,381,51,19.05,498,76.5,0,1,39,3,11,0,38,37,1957,1520,37,41.08,4.66,52.8,1,0,0," Mehidy Hasan Miraz","Bangladesh","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"10",56,27,17,78,18,7.8,136,57.35,0,0,9,0,12,0,56,55,2813,2458,107,22.97,5.24,26.2,3,5,0," Mustafizur Rahman","Bangladesh","Batting style Left-hand bat","Bowling style Left-arm fast-medium"
